Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
2011,Ajinkya Rahane,10,1,120,52,20,98,122.44,0,1,12,2,1,0,10,0,0,0,0,0,0,0,0,0
2009,Ajinkya Rahane,8,1,144,62*,24,123,117.07,0,2,12,3,1,0,8,6,5,1,1/5,5.00,5.00,6.00,0,0
2008,Ajinkya Rahane,2,0,4,4,2,17,23.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No stats,Shaik Rasheed,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Sameer Rizvi,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
No stats,Avanish Rao Aravelly,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Ravindra Jadeja,2,1,25,25*,0,17,147.06,0,0,0,1,0,0,2,24,21,0,0/21,0,5.25,0,0,0
2023,Ravindra Jadeja,16,4,190,25*,23.75,133,142.86,0,0,11,9,9,0,16,342,431,20,3/20,21.55,7.56,17.10,0,0
2022,Ravindra Jadeja,10,4,116,26*,19.33,98,118.37,0,0,6,5,7,0,10,198,248,5,3/39,49.60,7.52,39.60,0,0
2021,Ravindra Jadeja,16,9,227,62*,75.66,156,145.51,0,1,19,9,13,0,16,294,346,13,3/13,26.61,7.06,22.61,0,0
2020,Ravindra Jadeja,14,6,232,50,46.40,135,171.85,0,1,22,11,5,0,14,218,318,6,2/42,53.00,8.75,36.33,0,0
2019,Ravindra Jadeja,16,6,106,31*,35.33,88,120.45,0,0,7,4,9,0,16,324,343,15,3/9,22.86,6.35,21.60,0,0
2018,Ravindra Jadeja,16,5,89,27*,17.80,74,120.27,0,0,3,4,11,0,16,246,303,11,3/18,27.54,7.39,22.36,0,0
2017,Ravindra Jadeja,12,6,158,28,39.50,113,139.82,0,0,13,4,2,0,12,228,349,5,2/28,69.80,9.18,45.60,0,0
2016,Ravindra Jadeja,15,6,191,36*,21.22,178,107.3,0,0,14,4,4,0,15,241,311,8,2/18,38.87,7.74,30.12,0,0
2015,Ravindra Jadeja,17,5,132,24,18.85,126,104.76,0,0,7,3,13,0,17,256,330,11,4/11,30.00,7.73,23.27,1,0
2014,Ravindra Jadeja,16,5,146,36*,29.20,110,132.72,0,0,9,5,4,0,16,326,443,19,4/12,23.31,8.15,17.15,2,0
2013,Ravindra Jadeja,18,6,201,38*,25.12,135,148.88,0,0,17,6,6,0,18,259,323,13,3/20,24.84,7.48,19.92,0,0
2012,Ravindra Jadeja,19,2,191,48,15.91,151,126.49,0,0,13,9,2,0,19,210,273,12,5/16,22.75,7.8,17.50,0,1
2011,Ravindra Jadeja,14,3,283,47,31.44,228,124.12,0,0,20,14,1,0,14,252,305,8,2/25,38.12,7.26,31.50,0,0
2009,Ravindra Jadeja,13,2,295,42,26.81,266,110.9,0,0,21,6,4,0,13,140,151,6,3/15,25.16,6.47,23.33,0,0
2008,Ravindra Jadeja,14,2,135,36*,19.28,103,131.06,0,0,11,6,7,0,14,13,21,0,0/0,0,9.69,0,0,0
2023,Mitchell Santner,3,2,2,1*,0,4,50,0,0,0,0,1,0,3,72,81,3,2/28,27,6.75,24,0,0
2022,Mitchell Santner,6,2,22,11,11.00,27,81.48,0,0,3,0,2,0,6,114,130,4,1/15,32.5,6.84,28.5,0,0
2020,Mitchell Santner,2,0,0,0,0.00,0,0,0,0,0,0,1,0,2,42,53,2,1/23,26.5,7.57,21,0,0
2019,Mitchell Santner,4,1,32,22,32.00,23,139.13,0,0,0,3,1,0,4,84,94,4,2/13,23.5,6.71,21,0,0
2023,Moeen Ali,15,3,124,23,17.71,91,136.26,0,0,12,6,4,0,15,156,195,9,4/26,21.67,7.5,17.33,1,0
2022,Moeen Ali,10,0,244,93,24.4,177,137.85,0,1,24,11,5,0,10,143,158,8,3/13,19.75,6.63,17.88,0,0
2021,Moeen Ali,15,1,357,58,25.5,260,137.3,0,1,31,19,7,0,15,152,161,6,3/7,26.83,6.35,25.33,0,0
2020,Moeen Ali,3,0,12,11,4,16,75,0,0,1,0,1,0,3,30,42,1,1/21,42,8.4,30,0,0
2019,Moeen Ali,11,2,220,66,27.5,133,165.41,0,2,16,17,1,0,11,150,169,6,2/18,28.16,6.76,25,0,0
2018,Moeen Ali,5,0,77,65,19.25,46,167.39,0,1,4,6,2,0,5,79,97,3,1/13,32.33,7.36,26.33,0,0
2024,Shivam Dube,2,2,70,36*,0,42,166.67,0,0,5,5,0,0,2,0,0,0,0,0,0,0,0,0
2023,Shivam Dube,16,3,418,52,38.00,264,158.33,0,3,12,35,6,0,16,0,0,0,0,0,0,0,0,0
2022,Shivam Dube,11,1,289,95*,28.90,185,156.22,0,2,22,16,6,0,11,12,36,0,0/11,0,18.00,0,0,0
2021,Shivam Dube,9,1,230,64*,28.75,193,119.17,0,1,18,10,2,0,9,30,49,0,0/5,0,9.80,0,0,0
2020,Shivam Dube,11,2,129,27*,18.42,105,122.85,0,0,5,9,2,0,11,54,73,4,2/15,18.25,8.11,13.50,0,0
2019,Shivam Dube,4,1,40,24,13.33,33,121.21,0,0,1,3,1,0,4,10,8,0,0/3,0,4.80,0,0,0
No stats,Nishant Sindhu,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
No stats,Ajay Mandal,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Rachin Ravindra,2,0,83,46,41.5,35,237.14,0,0,9,6,2,0,2,0,0,0,0,0,0,0,0,0
2023,Shardul Thakur,11,2,113,68,14.13,70,161.43,0,1,13,4,4,0,11,126,220,7,2/23,31.43,10.48,18,0,0
2022,Shardul Thakur,14,2,120,29*,15,87,137.93,0,0,7,7,7,0,14,290,473,15,4/36,31.53,9.79,19.33,1,0
2021,Shardul Thakur,16,2,5,3*,2.5,5,100,0,0,0,0,2,0,16,359,527,21,3/28,25.09,8.8,17.09,0,0
2020,Shardul Thakur,9,1,12,11,12,21,57.14,0,0,0,0,2,0,9,194,275,10,2/28,27.5,8.5,19.4,0,0
2019,Shardul Thakur,10,1,14,12*,7,7,200,0,0,1,1,5,0,10,180,281,8,2/18,35.12,9.36,22.5,0,0
2018,Shardul Thakur,13,1,15,15*,0,5,300,0,0,3,0,4,0,13,280,431,16,2/18,26.93,9.23,17.5,0,0
2017,Shardul Thakur,12,0,0,0*,0,3,0,0,0,0,0,4,0,12,229,315,11,3/19,28.63,8.25,20.81,0,0
2015,Shardul Thakur,1,1,7,7*,0,6,116.66,0,0,1,0,0,0,1,18,38,1,1/38,38,12.66,18,0,0
2024,Daryl Mitchell,2,1,30,22,30,26,115.38,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0
2022,Daryl Mitchell,2,0,33,17,16.5,44,75,0,0,1,0,2,0,2,12,27,0,0/7,0,13.50,0,0,0
2023,Rajvardhan Hangargekar,2,0,0,0,0,0,0,0,0,0,0,0,0,2,36,60,3,3/36,20,10,12,0,0
2024,Deepak Chahar,2,0,0,0,0,0,0,0,0,0,0,0,0,2,24,37,1,1/37,37.00,9.25,24.00,0,0
2023,Deepak Chahar,10,1,1,1*,0,2,50.00,0,0,0,0,1,0,10,204,297,13,3/22,22.85,8.74,15.69,0,0
2021,Deepak Chahar,15,2,1,1*,0.00,1,100.00,0,0,0,0,5,0,15,324,451,14,4/13,32.21,8.35,23.14,2,0
2020,Deepak Chahar,14,2,7,5*,7.00,12,58.33,0,0,0,0,3,0,14,312,396,12,2/18,33.00,7.61,26.00,0,0
2019,Deepak Chahar,17,0,7,7,3.50,9,77.77,0,0,1,0,2,0,17,387,482,22,3/20,21.90,7.47,17.59,0,0
2018,Deepak Chahar,12,1,50,39,16.66,29,172.41,0,0,1,4,1,0,12,229,278,10,3/15,27.80,7.28,22.90,0,0
2017,Deepak Chahar,3,0,14,14,14.00,6,233.33,0,0,0,2,0,0,3,42,74,1,1/35,74.00,10.57,42.00,0,0
2016,Deepak Chahar,2,0,0,0,0.00,0,0.00,0,0,0,0,1,0,2,30,41,0,0/13,0,8.2,0,0,0
2024,Maheesh Theekshana,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,36,0,0/36,0,9,0,0,0
2023,Maheesh Theekshana,13,0,0,0,0,0,0,0,0,0,0,3,0,13,294,392,11,2/23,35.64,8,26.73,0,0
2022,Maheesh Theekshana,9,1,7,7*,7.00,7,100.00,0,0,0,1,0,0,9,210,261,12,4/33,21.75,7.46,17.50,1,0
2022,Mukesh Choudhary,13,1,6,4,6,6,100,0,0,1,0,3,0,13,273,424,16,4/46,26.5,9.32,17.06,1,0
2024,Mustafizur Rahman,2,0,0,0,0,0,0,0,0,0,0,0,0,2,24,29,4,4/29,7.25,7.25,6.00,1,0
2023,Mustafizur Rahman,2,1,1,1*,0,1,100.00,0,0,0,0,0,0,2,42,79,1,1/38,79.00,11.29,42.00,0,0
2022,Mustafizur Rahman,8,1,3,3*,0,5,60.00,0,0,0,0,1,0,8,192,244,8,3/18,30.50,7.63,24.00,0,0
2021,Mustafizur Rahman,14,5,8,8*,0.00,14,57.14,0,0,0,1,1,0,14,311,436,14,3/20,31.14,8.41,22.21,0,0
2018,Mustafizur Rahman,7,1,1,1,1.00,3,33.33,0,0,0,0,2,0,7,165,230,7,3/24,32.85,8.36,23.57,0,0
2017,Mustafizur Rahman,1,0,0,0,0.00,0,0.00,0,0,0,0,0,0,1,16,34,0,0/34,0,12.75,0,0,0
2016,Mustafizur Rahman,16,0,0,0,0.00,0,0.00,0,0,0,0,2,0,16,366,421,17,3/16,24.76,6.9,21.52,0,0
2022,Prashant Solanki,2,0,0,0,0,0,0,0,0,0,0,0,0,2,36,38,2,2/20,19,6.33,18,0,0
2022,Simarjeet Singh,6,2,7,3*,7,8,87.5,0,0,0,0,1,0,6,108,138,4,2/27,34.5,7.67,27,0,0
2024,Tushar Deshpande,2,0,0,0,0,0,0,0,0,0,0,0,0,2,24,47,0,0/47,0,11.75,0,0,0
2023,Tushar Deshpande,16,1,0,0*,0,1,0.00,0,0,0,0,2,0,16,341,564,21,3/45,26.86,9.92,16.24,0,0
2022,Tushar Deshpande,2,0,0,0,0,0,0,0,0,0,0,1,0,2,42,63,1,1/40,63.00,9,42.00,0,0
2020,Tushar Deshpande,5,1,21,20*,21.00,12,175.00,0,0,2,1,1,0,5,102,192,3,2/37,64.00,11.29,34.00,0,0
2023,Matheesha Pathirana,12,0,0,0,0,0,0,0,0,0,0,4,0,12,278,371,19,3/15,19.53,8.01,14.63,0,0
2022,Matheesha Pathirana,2,0,0,0,0,0,0,0,0,0,0,1,0,2,41,52,2,2/24,26,7.61,20.5,0,0
2024,Rishabh Pant,1,0,18,18,18,13,138.46,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0
2022,Rishabh Pant,14,2,340,44,30.91,224,151.79,0,0,35,16,8,4,14,0,0,0,0,0,0,0,0,0
2021,Rishabh Pant,16,4,419,58*,34.91,326,128.52,0,3,42,10,10,3,16,0,0,0,0,0,0,0,0,0
2020,Rishabh Pant,14,3,343,56,31.18,301,113.95,0,1,31,9,13,0,14,0,0,0,0,0,0,0,0,0
2019,Rishabh Pant,16,3,488,78*,37.53,300,162.66,0,3,37,27,18,6,16,0,0,0,0,0,0,0,0,0
2018,Rishabh Pant,14,1,684,128*,52.61,394,173.6,1,5,68,37,4,2,14,0,0,0,0,0,0,0,0,0
2017,Rishabh Pant,14,0,366,97,26.14,221,165.61,0,2,28,24,8,3,14,0,0,0,0,0,0,0,0,0
2016,Rishabh Pant,10,2,198,69,24.75,152,130.26,0,1,19,6,3,0,10,0,0,0,0,0,0,0,0,0
2024,David Warner,1,0,29,29,29,21,138.1,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0
2023,David Warner,14,0,516,86,36.86,392,131.63,0,6,69,10,7,0,14,0,0,0,0,0,0,0,0,0
2022,David Warner,12,3,432,92*,48,287,150.52,0,5,52,15,6,0,12,0,0,0,0,0,0,0,0,0
2021,David Warner,8,0,195,57,24.37,181,107.73,0,2,15,6,2,0,8,0,0,0,0,0,0,0,0,0
2020,David Warner,16,2,548,85*,39.14,407,134.64,0,4,52,14,12,0,16,1,2,0,0/2,0,12.00,0,0,0
2019,David Warner,12,2,692,100*,69.2,481,143.86,1,8,57,21,2,0,12,0,0,0,0,0,0,0,0,0
2017,David Warner,14,3,641,126,58.27,452,141.81,1,4,63,26,10,0,14,0,0,0,0,0,0,0,0,0
2016,David Warner,17,3,848,93*,60.57,560,151.42,0,9,88,31,4,0,17,0,0,0,0,0,0,0,0,0
2015,David Warner,14,1,562,91,43.23,359,156.54,0,7,65,21,8,0,14,0,0,0,0,0,0,0,0,0
2014,David Warner,14,3,528,90,48,375,140.8,0,6,39,24,8,0,14,0,0,0,0,0,0,0,0,0
2013,David Warner,16,3,410,77,31.53,323,126.93,0,4,41,14,6,0,16,0,0,0,0,0,0,0,0,0
2012,David Warner,8,1,256,109*,36.57,156,164.1,1,1,28,14,1,0,8,0,0,0,0,0,0,0,0,0
2011,David Warner,13,0,324,77,24.92,276,117.39,0,3,34,11,4,0,13,0,0,0,0,0,0,0,0,0
2010,David Warner,11,1,282,107*,28.2,191,147.64,1,1,27,14,8,0,11,0,0,0,0,0,0,0,0,0
2009,David Warner,7,0,163,51,23.29,132,123.48,0,1,16,5,0,0,7,0,0,0,0,0,0,0,0,0
2023,Prithvi Shaw,8,0,106,54,13.25,85,124.71,0,1,16,1,1,0,8,0,0,0,0,0,0,0,0,0
2022,Prithvi Shaw,10,0,283,61,28.3,185,152.97,0,2,37,10,4,0,10,0,0,0,0,0,0,0,0,0
2021,Prithvi Shaw,15,0,479,82,31.93,301,159.13,0,4,56,18,1,0,15,0,0,0,0,0,0,0,0,0
2020,Prithvi Shaw,13,0,228,66,17.53,167,136.52,0,2,27,8,4,0,13,0,0,0,0,0,0,0,0,0
2019,Prithvi Shaw,16,0,353,99,22.06,264,133.71,0,2,45,9,2,0,16,0,0,0,0,0,0,0,0,0
2018,Prithvi Shaw,9,0,245,65,27.22,160,153.12,0,2,27,10,4,0,9,0,0,0,0,0,0,0,0,0
2023,Yash Dhull,4,0,16,13,5.33,23,69.57,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0
2024,Shai Hope,1,0,33,33,33,25,132,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
No stats,Swastik Chhikara,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Abishek Porel,1,1,32,32*,0,10,320,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0
2023,Abishek Porel,4,0,33,20,8.25,31,106.45,0,0,1,2,4,0,4,0,0,0,0,0,0,0,0,0
No stats,Harry Brook,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Ricky Bhui,1,0,3,3,3,7,42.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,Ricky Bhui,1,0,7,7,7,12,58.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Ricky Bhui,1,0,0,0*,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No stats,Kumar Kushagra,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Tristan Stubbs,1,0,5,5,5,8,62.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2023,Tristan Stubbs,2,0,25,20,12.5,31,80.65,0,0,2,0,0,0,2,12,14,1,1/14,14.00,7.00,12.00,0,0
2022,Tristan Stubbs,2,0,2,2,1,4,50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2024,Axar Patel,1,0,21,21,21,13,161.54,0,0,2,1,0,0,1,24,25,0,0/25,0,6.25,0,0,0
2023,Axar Patel,14,3,283,54,28.3,203,139.41,0,1,21,15,7,0,14,282,338,11,2/13,30.73,7.19,25.64,0,0
2022,Axar Patel,13,6,182,42*,45.5,120,151.67,0,0,12,10,8,0,13,258,321,6,2/10,53.50,7.47,43.00,0,0
2021,Axar Patel,12,1,40,12,8,46,86.95,0,0,2,1,4,0,12,276,306,15,3/21,20.40,6.65,18.40,0,0
2020,Axar Patel,15,1,117,42,14.62,85,137.64,0,0,6,8,6,0,15,306,327,9,2/18,36.33,6.41,34.00,0,0
2019,Axar Patel,14,6,110,26,18.33,88,125,0,0,10,3,9,0,14,306,364,10,2/22,36.40,7.13,30.60,0,0
2018,Axar Patel,9,2,80,19,13.33,69,115.94,0,0,3,4,2,0,9,156,218,3,1/21,72.66,8.38,52.00,0,0
2017,Axar Patel,14,5,227,44,28.37,162,140.12,0,0,11,11,7,0,14,288,362,15,3/11,24.13,7.54,19.20,0,0
2016,Axar Patel,14,3,111,36*,15.85,77,144.15,0,0,4,8,2,0,14,287,388,13,4/21,29.84,8.11,22.07,1,0
2015,Axar Patel,14,3,206,40*,22.88,174,118.39,0,0,13,8,7,0,14,280,392,13,2/11,30.15,8.4,21.53,0,0
2014,Axar Patel,17,2,62,42*,10.33,60,103.33,0,0,6,1,7,0,17,396,405,17,3/24,23.82,6.13,23.29,0,0
2023,Lalit Yadav,6,1,66,38,13.2,59,111.86,0,0,8,0,5,0,6,78,118,2,1/29,59,9.08,39,0,0
2022,Lalit Yadav,12,1,161,48*,23,146,110.27,0,0,11,7,6,0,12,108,150,4,2/11,37.5,8.33,27,0,0
2021,Lalit Yadav,7,3,68,22*,34,73,93.15,0,0,7,0,5,0,7,84,101,4,2/13,25.25,7.21,21,0,0
2024,Mitchell Marsh,1,0,20,20,20,12,166.67,0,0,2,2,0,0,1,24,52,0,0/52,0,13,0,0,0
2023,Mitchell Marsh,9,0,128,63,14.22,97,131.96,0,1,11,7,3,0,9,121,170,12,4/27,14.17,8.43,10.08,1,0
2022,Mitchell Marsh,8,0,251,89,31.38,189,132.8,0,2,19,14,0,0,8,72,102,4,2/25,25.50,8.5,18.00,0,0
2020,Mitchell Marsh,1,0,0,0*,0,1,0,0,0,0,0,0,0,1,4,6,0,0/6,0,9,0,0,0
2016,Mitchell Marsh,3,0,7,7,7,11,63.63,0,0,0,0,0,0,3,54,45,4,2/14,11.25,5,13.50,0,0
2013,Mitchell Marsh,9,1,141,38,20.14,106,132.07,0,0,6,10,7,0,9,116,182,7,2/7,26.00,9.41,16.57,0,0
2011,Mitchell Marsh,5,1,50,37,25,49,102.04,0,0,2,3,0,0,5,85,99,7,4/25,14.14,6.98,12.14,1,0
2010,Mitchell Marsh,3,0,28,15,14,30,93.33,0,0,1,1,0,0,3,60,88,2,1/19,44.00,8.8,30.00,0,0
2024,Sumit Kumar,1,0,2,2,2,9,22.22,0,0,0,0,0,0,1,8,19,0,0/19,0,14.25,0,0,0
2023,Pravin Dubey,1,0,16,16,16,20,80,0,0,2,0,0,0,1,18,19,1,1/19,19.00,6.33,18.00,0,0
2020,Pravin Dubey,3,1,7,7*,0,13,53.84,0,0,0,0,1,0,3,48,72,0,0/14,0,9,0,0,0
No stats,Vicky Ostwal,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2023,Anrich Nortje,10,4,37,23*,12.33,29,127.59,0,0,6,0,2,0,10,240,364,10,2/20,36.4,9.1,24,0,0
2022,Anrich Nortje,6,1,1,1*,0,6,16.67,0,0,0,0,2,0,6,134,217,9,3/42,24.11,9.72,14.89,0,0
2021,Anrich Nortje,8,0,0,0,0.00,0,0,0,0,0,0,1,0,8,182,187,12,2/12,15.58,6.16,15.16,0,0
2020,Anrich Nortje,16,4,7,3*,7.00,6,116.66,0,0,0,0,4,0,16,366,512,22,3/33,23.27,8.39,16.63,0,0
2024,Kuldeep Yadav,1,0,1,1,1,2,50,0,0,0,0,0,0,1,24,20,2,2/20,10,5,12,0,0
2023,Kuldeep Yadav,14,8,31,10*,15.5,48,64.58,0,0,2,0,2,0,14,294,361,10,2/15,36.1,7.37,29.4,0,0
2022,Kuldeep Yadav,14,6,48,16*,48,52,92.31,0,0,3,2,5,0,14,298,419,21,4/14,19.95,8.44,14.19,2,0
2020,Kuldeep Yadav,5,1,13,12,13,21,61.9,0,0,1,0,0,0,5,72,92,1,1/20,92,7.66,72,0,0
2019,Kuldeep Yadav,9,2,12,10*,6,8,150,0,0,1,0,3,0,9,198,286,4,2/41,71.5,8.66,49.5,0,0
2018,Kuldeep Yadav,16,2,12,7*,12,24,50,0,0,1,0,6,0,16,308,418,17,4/20,24.58,8.14,18.11,1,0
2017,Kuldeep Yadav,12,0,20,16,10,22,90.9,0,0,2,0,1,0,12,246,340,12,2/25,28.33,8.29,20.5,0,0
2016,Kuldeep Yadav,3,0,0,0,0,0,0,0,0,0,0,1,0,3,72,100,6,3/35,16.66,8.33,12,0,0
No stats,Jake Fraser-McGurk,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Khaleel Ahmed,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,43,2,2/43,21.50,10.75,12.00,0,0
2023,Khaleel Ahmed,9,0,0,0,0,0,0,0,0,0,0,2,0,9,198,301,9,2/24,33.44,9.12,22.00,0,0
2022,Khaleel Ahmed,10,0,0,0,0.00,2,0.00,0,0,0,0,0,0,10,235,315,16,3/25,19.69,8.04,14.69,0,0
2021,Khaleel Ahmed,7,0,1,1,1.00,2,50.00,0,0,0,0,0,0,7,162,219,5,3/21,43.80,8.11,32.40,0,0
